
TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
STREAMS$_PREPARE_OBJECT                                                                                                                   0          0           0
STREAMS$_PREPARE_DDL                                                                                                                      0          0           0
STREAMS$_APPLY_MILESTONE                                                                                                                  0          0           0
STREAMS$_APPLY_PROGRESS                                                                                                                   0          0           0
STREAMS$_KEY_COLUMNS                                                                                                                      0          0           0
STREAMS$_DEF_PROC                                                                                                                         0          0           0
STREAMS$_RULES                                                                                                                            0          0           0
APPLY$_SOURCE_OBJ                                                                                                                         0          0           0
APPLY$_SOURCE_SCHEMA                                                                                                                      0          0           0
APPLY$_VIRTUAL_OBJ_CONS                                                                                                                   0          0           0
APPLY$_CONSTRAINT_COLUMNS                                                                                                                 0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
APPLY$_DEST_OBJ                                                                                                                           0          0           0
APPLY$_DEST_OBJ_CMAP                                                                                                                      0          0           0
APPLY$_DEST_OBJ_OPS                                                                                                                       0          0           0
STREAMS$_STMT_HANDLERS                                                                                                                    0          0           0
STREAMS$_STMT_HANDLER_STMTS                                                                                                               0          0           0
APPLY$_CHANGE_HANDLERS                                                                                                                    0          0           0
APPLY$_ERROR                                                                                                                              0          0           0
APPLY$_ERROR_HANDLER                                                                                                                      0          0           0
APPLY$_CONF_HDLR_COLUMNS                                                                                                                  0          0           0
APPLY$_TABLE_STATS                                                                                                                        0          0           0
APPLY$_PROCEDURE_STATS                                                                                                                    0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
APPLY$_COORDINATOR_STATS                                                                                                                  0          0           0
APPLY$_SERVER_STATS                                                                                                                       0          0           0
APPLY$_READER_STATS                                                                                                                       0          0           0
APPLY$_BATCH_SQL_STATS                                                                                                                    0          0           0
APPLY$_CDR_INFO                                                                                                                           0          0           0
APPLY$_AUTO_CDR_COLUMN_GROUPS                                                                                                             0          0           0
STREAMS$_DEST_OBJS                                                                                                                        0          0           0
STREAMS$_DEST_OBJ_COLS                                                                                                                    0          0           0
STREAMS$_PRIVILEGED_USER                                                                                                                  0          0           0
STREAMS$_MESSAGE_RULES                                                                                                                    0          0           0
STREAMS$_MESSAGE_CONSUMERS                                                                                                                0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
STREAMS$_APPLY_SPILL_TXN                                                                                                                  0          0           0
STREAMS$_APPLY_SPILL_TXN_LIST                                                                                                             0          0           0
FGR$_FILE_GROUPS                                                                                                                          0          0           0
FGR$_FILE_GROUP_VERSIONS                                                                                                                  0          0           0
FGR$_FILE_GROUP_EXPORT_INFO                                                                                                               0          0           0
FGR$_FILE_GROUP_FILES                                                                                                                     0          0           0
FGR$_TABLESPACE_INFO                                                                                                                      0          0           0
FGR$_TABLE_INFO                                                                                                                           0          0           0
RULESET$                                                                                                                                  0          0           0
LOG$                                                                                                                                      0          0           0
RECO_SCRIPT$                                                                                                                              0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
RECO_SCRIPT_PARAMS$                                                                                                                       0          0           0
RECO_SCRIPT_BLOCK$                                                                                                                        0          0           0
RECO_SCRIPT_ERROR$                                                                                                                        0          0           0
COMPARISON$                                                                                                                               0          0           0
COMPARISON_COL$                                                                                                                           0          0           0
COMPARISON_SCAN$                                                                                                                          0          0           0
COMPARISON_SCAN_VAL$                                                                                                                      0          0           0
COMPARISON_ROW_DIF$                                                                                                                       0          0           0
STREAMS$_COMPONENT                                                                                                                        0          0           0
STREAMS$_COMPONENT_LINK                                                                                                                   0          0           0
STREAMS$_COMPONENT_PROP                                                                                                                   0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
STREAMS$_DATABASE                                                                                                                         0          0           0
XSTREAM$_SERVER                                                                                                                           0          0           0
XSTREAM$_SUBSET_RULES                                                                                                                     0          0           0
XSTREAM$_SYSGEN_OBJS                                                                                                                      0          0           0
XSTREAM$_PARAMETERS                                                                                                                       0          0           0
XSTREAM$_DML_CONFLICT_HANDLER                                                                                                             0          0           0
XSTREAM$_DML_CONFLICT_COLUMNS                                                                                                             0          0           0
XSTREAM$_REPERROR_HANDLER                                                                                                                 0          0           0
XSTREAM$_HANDLE_COLLISIONS                                                                                                                0          0           0
XSTREAM$_SERVER_CONNECTION                                                                                                                0          0           0
XSTREAM$_DDL_CONFLICT_HANDLER                                                                                                             0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
XSTREAM$_MAP                                                                                                                              0          0           0
GOLDENGATE$_PRIVILEGES                                                                                                                    0          0           0
XSTREAM$_PRIVILEGES                                                                                                                       0          0           0
REPL$_DBNAME_MAPPING                                                                                                                      0          0           0
RMTAB$                                                                                                                                    0          0           0
REPL$_PROCESS_EVENTS                                                                                                                      0          0           0
GOLDENGATE$_CONTAINER_RULES                                                                                                               0          0           0
AW$                                                                                                                                       6          5          17
PS$                                                                                                                                     592          5          34
AW_OBJ$                                                                                                                                1302         65         356
AW_PROP$                                                                                                                                  0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
AW_TRACK$                                                                                                                                 0          0           0
AW_PRG$                                                                                                                                   0          0           0
OLAP_MAPPINGS$                                                                                                                            0          0           0
OLAP_MODELS$                                                                                                                              0          0           0
OLAP_MODEL_PARENTS$                                                                                                                       0          0           0
OLAP_MODEL_ASSIGNMENTS$                                                                                                                   0          0           0
OLAP_CALCULATED_MEMBERS$                                                                                                                  0          0           0
OLAP_SYNTAX$                                                                                                                              0          0           0
OLAP_DESCRIPTIONS$                                                                                                                        0          0           0
OLAP_CUBE_BUILD_PROCESSES$                                                                                                                0          0           0
OLAP_AW_VIEWS$                                                                                                                            0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
OLAP_AW_VIEW_COLUMNS$                                                                                                                     0          0           0
OLAP_MEASURE_FOLDERS$                                                                                                                     0          0           0
OLAP_MEAS_FOLDER_CONTENTS$                                                                                                                0          0           0
OLAP_AW_DEPLOYMENT_CONTROLS$                                                                                                              0          0           0
OLAP_IMPL_OPTIONS$                                                                                                                        0          0           0
OLAP_MULTI_OPTIONS$                                                                                                                       0          0           0
OLAP_METADATA_DEPENDENCIES$                                                                                                               0          0           0
OLAP_CUBE_DIMENSIONS$                                                                                                                     0          0           0
OLAP_DIM_LEVELS$                                                                                                                          0          0           0
OLAP_ATTRIBUTES$                                                                                                                          0          0           0
OLAP_ATTRIBUTE_VISIBILITY$                                                                                                                0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
OLAP_HIERARCHIES$                                                                                                                         0          0           0
OLAP_HIER_LEVELS$                                                                                                                         0          0           0
OLAP_CUBES$                                                                                                                               0          0           0
OLAP_MEASURES$                                                                                                                            0          0           0
OLAP_DIMENSIONALITY$                                                                                                                      0          0           0
OLAP_TAB$                                                                                                                                 0          0           0
OLAP_TAB_COL$                                                                                                                             0          0           0
OLAP_TAB_HIER$                                                                                                                            0          0           0
OLAP_METADATA_PROPERTIES$                                                                                                                 0          0           0
SUM$                                                                                                                                      0          0           0
SUMDETAIL$                                                                                                                                0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SUMINLINE$                                                                                                                                0          0           0
SUMKEY$                                                                                                                                   0          0           0
SUMAGG$                                                                                                                                   0          0           0
SUMJOIN$                                                                                                                                  0          0           0
SUMDEP$                                                                                                                                   0          0           0
SUMPRED$                                                                                                                                  0          0           0
SUMQB$                                                                                                                                    0          0           0
CACHE_STATS_1$                                                                                                                            0          0           0
CACHE_STATS_0$                                                                                                                            0          0           0
ASSOCIATION$                                                                                                                              0          0           0
USTATS$                                                                                                                                   1          1          15

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
STATS_TARGET$                                                                                                                           583         20          62
COL_USAGE$                                                                                                                             2227         12          32
COL_GROUP_USAGE$                                                                                                                          0          0           0
MON_MODS$                                                                                                                                 0          0           0
MON_MODS_ALL$                                                                                                                           130          2          23
WRI$_OPTSTAT_TAB_HISTORY                                                                                                               3055         20          50
WRI$_OPTSTAT_IND_HISTORY                                                                                                               2451         20          64
WRI$_OPTSTAT_AUX_HISTORY                                                                                                                  0          5           0
WRI$_OPTSTAT_OPR                                                                                                                        414         28         473
WRI$_OPTSTAT_OPR_TASKS                                                                                                                 6015        110         141
OPTSTAT_HIST_CONTROL$                                                                                                                    42          1          42

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
OPTSTAT_USER_PREFS$                                                                                                                      72          1          55
OPT_FINDING$                                                                                                                              9          5          41
OPT_FINDING_OBJ$                                                                                                                         14          5          27
OPT_DIRECTIVE_OWN$                                                                                                                        7          5          15
OPT_DIRECTIVE$                                                                                                                            9          5          55
OPT_CALIBRATION_STATS$                                                                                                                    0          0           0
OPTSTAT_SNAPSHOT$                                                                                                                     10000         47          26
EXP_HEAD$                                                                                                                               142          5          60
EXP_OBJ$                                                                                                                                 12          5          11
EXP_STAT$                                                                                                                                77          5          39
DIR$                                                                                                                                     15          1          85

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
ID_GENS$                                                                                                                                  1          1           3
OID$                                                                                                                                   6547         31          27
TYPE$                                                                                                                                  4032       4248          91
COLLECTION$                                                                                                                            1455       4248          83
ATTRIBUTE$                                                                                                                            15865       4248          67
METHOD$                                                                                                                                4891       4248          49
PARAMETER$                                                                                                                            13151       4248          62
RESULT$                                                                                                                                3518       4248          50
TYPEHIERARCHY$                                                                                                                            6          1          19
KOPM$                                                                                                                                     1          1         111
VTABLE$                                                                                                                                3339         28          50

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
OPBINDING$                                                                                                                              180          3          70
OPANCILLARY$                                                                                                                              0          0           0
OPARG$                                                                                                                                  427          3          26
OPERATOR$                                                                                                                                60          1          13
INDTYPES$                                                                                                                                 0          0           0
INDOP$                                                                                                                                    0          0           0
INDARRAYTYPE$                                                                                                                             0          0           0
SECOBJ$                                                                                                                                   0          0           0
JAVAOBJ$                                                                                                                                  0          0           0
JAVASNM$                                                                                                                                  0          0           0
PARTCOL$                                                                                                                                352          2          24

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
TABPART$                                                                                                                                363          7         109
INDPART$                                                                                                                                264          7         103
SUBPARTCOL$                                                                                                                               1          1          24
TABSUBPART$                                                                                                                              32          1          84
INDSUBPART$                                                                                                                               0          0           0
TABCOMPART$                                                                                                                               1          1         103
INDCOMPART$                                                                                                                               0          0           0
PARTLOB$                                                                                                                                  6          1          31
LOBFRAG$                                                                                                                                 20          1          53
LOBCOMPPART$                                                                                                                              0          0           0
DEFSUBPART$                                                                                                                               0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
HIER$                                                                                                                                     0          0           0
HIERLEVEL$                                                                                                                                0          0           0
DIM$                                                                                                                                      0          0           0
DIMLEVEL$                                                                                                                                 0          0           0
DIMLEVELKEY$                                                                                                                              0          0           0
DIMJOINKEY$                                                                                                                               0          0           0
DIMATTR$                                                                                                                                  0          0           0
SYNCREF$_GROUPS                                                                                                                           0          0           0
SYNCREF$_TABLE_INFO                                                                                                                       0          0           0
SYNCREF$_OBJECTS                                                                                                                          0          0           0
SYNCREF$_PARTN_OPS                                                                                                                        0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SYNCREF$_GROUP_STATUS                                                                                                                     0          0           0
SYNCREF$_OBJECT_STATUS                                                                                                                    0          0           0
SYNCREF$_STEP_STATUS                                                                                                                      0          0           0
SYNCREF$_LOG_EXCEPTIONS                                                                                                                   0          0           0
SYNCREF$_PARAMETERS                                                                                                                       1          1          37
SYNCREF$_ER_REFGRPS                                                                                                                       0          0           0
SYNCREF$_SOFT_ERRORS                                                                                                                      1          1           4
SYNCREF$_STLOG_STATS                                                                                                                      0          0           0
REDEF$                                                                                                                                    0          0           0
REDEF_OBJECT$                                                                                                                             0          0           0
REDEF_OBJECT_BACKUP$                                                                                                                      0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
REDEF_DEP_ERROR$                                                                                                                          0          0           0
REDEF_STATUS$                                                                                                                             0          0           0
REDEF_TRACK$                                                                                                                              1          1          19
MV_REFRESH_USAGE_STATS$                                                                                                                 100          1          31
PTT_FEATURE$                                                                                                                              1          1          23
INCEXP                                                                                                                                    0          0           0
INCVID                                                                                                                                    1          1           2
INCFIL                                                                                                                                    0          0           0
EXPACT$                                                                                                                                   4          1          57
NOEXP$                                                                                                                                  147          1          27
EXPPKGOBJ$                                                                                                                               24          1          41

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
EXPPKGACT$                                                                                                                               33          1          32
EXPDEPOBJ$                                                                                                                               87          1          10
EXPDEPACT$                                                                                                                                9          1          35
EXPIMP_TTS_CT$                                                                                                                            0          0           0
METAVIEW$                                                                                                                               661          7          56
METAFILTER$                                                                                                                            4494         44          63
METAXSL$                                                                                                                                510          3          34
METAXSLPARAM$                                                                                                                          1449         15          57
METAXSLPARAMDESC$                                                                                                                       248          3          77
METASTYLESHEET                                                                                                                          204         31         254
METASCRIPT$                                                                                                                            1027         12          77

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
METASCRIPTFILTER$                                                                                                                      7470        103          92
METANAMETRANS$                                                                                                                         3745         47          85
METAPATHMAP$                                                                                                                            919         12          73
IMPCALLOUTREG$                                                                                                                           38          1          83
METAAUDIT$                                                                                                                              341          2          19
EXTERNAL_TAB$                                                                                                                             1          1         966
EXTERNAL_LOCATION$                                                                                                                        1          1          39
MODEL$                                                                                                                                    0          0           0
MODELTAB$                                                                                                                                 0          0           0
MODELATT$                                                                                                                                 0          0           0
MODELSET$                                                                                                                                 0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
MODELPART$                                                                                                                                0          0           0
MODELPARTCOL$                                                                                                                             0          0           0
MODELXFM$                                                                                                                                 0          0           0
