
TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
IND_ONLINE$                                                                                                                               0          0           0
CONTEXT$                                                                                                                                 18          1          29
SQL_VERSION$                                                                                                                              4          1           9
JIJOIN$                                                                                                                                   0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
JIREFRESHSQL$                                                                                                                             0          0           0
TRIGGER$                                                                                                                                144         20         154
TRIGGERCOL$                                                                                                                             597          2          17
TRIGGERJAVAF$                                                                                                                             0          0           0
TRIGGERJAVAS$                                                                                                                             0          0           0
TRIGGERJAVAC$                                                                                                                             0          0           0
TRIGGERJAVAM$                                                                                                                             0          0           0
TRIGGERDEP$                                                                                                                               0          0           0
INDREBUILD$                                                                                                                               0          0           0
TRANSIENT_IOT$                                                                                                                            0          0           0
SQLTXL$                                                                                                                                   0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SQLTXL_SQL$                                                                                                                               0          0           0
SQLTXL_ERR$                                                                                                                               0          0           0
CLST$                                                                                                                                     0          0           0
CLSTKEY$                                                                                                                                  0          0           0
CLSTDIMENSION$                                                                                                                            0          0           0
CLSTJOIN$                                                                                                                                 0          0           0
INDEX_ORPHANED_ENTRY$                                                                                                                     0          0           0
ONLINE_HIDDEN_FRAGS$                                                                                                                      0          0           0
COMPRESSION$                                                                                                                              0          0           0
SMB$CONFIG                                                                                                                                7          5          64
SQL$                                                                                                                                      0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
SQL$TEXT                                                                                                                                  0          0           0
SQLOBJ$PLAN                                                                                                                               0          0           0
SQLOBJ$AUXDATA                                                                                                                            0          0           0
PROCEDURE$                                                                                                                             2826         23          47
PROCEDUREINFO$                                                                                                                        26224        172          35
